Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
2498,7dsugSamBB7enWE2IrlbFg,Astor Piazzolla,bandoneon,latin classical,nuevo tango,tango,49.0,279482.0,4.0,,26
2499,7xNPROyVfkH4mcIxxCxySm,Junior Senior,danish pop,,,,54.0,58150.0,5.0,,7
2500,0JM134st8VY7Ld9T2wQiH0,Coleman Hawkins,bebop,jazz,jazz saxophone,stride,49.0,113799.0,14.0,,5
2501,0SdiiPkr02EUdekHZJkt58,Hanson,boy band,dance pop,pop rock,,60.0,418124.0,19.0,,6
2502,2GVBp7QyHckoOg7rYkLvrA,George Clinton,funk,p funk,soul,,55.0,426526.0,8.0,,4
2503,3FjTqZ6SZYSYQMzY03O4RG,Cannibal Ox,abstract hip hop,alternative hip hop,east coast hip hop,harlem hip hop,30.0,67791.0,8.0,,2
2504,5ujCegv1BRbEPTCwQqFk6t,John Fogerty,blues rock,classic rock,country rock,heartland rock,55.0,733440.0,4.0,,4
2505,6oV3BNm1Gj2GGgpYknc5TN,George McCrae,disco,,,,50.0,115877.0,11.0,,4
2506,6ns6XAOsw4B0nDUIovAOUO,GZA,alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,62.0,442573.0,11.0,,2
2507,5LEUigTSXpwrtERRcSW1N4,Urge Overkill,alternative pop,alternative rock,,,47.0,51823.0,6.0,,7
2508,3UqRgrDIQ208yNGiWKRMNt,Napalm Death,birmingham metal,british death metal,british grindcore,brutal death metal,44.0,277150.0,2.0,,14
2509,3iDD7bnsjL9J4fO298r0L0,Chicago,adult standards,album rock,classic rock,folk rock,68.0,3221533.0,13.0,,4
2510,3xXSg1WJPGJuNjQV0REAzk,The Chords,doo-wop,,,,50.0,20899.0,16.0,,5
2511,5dlCVmfRbWVGOJYHzGyk32,Benny Carter,bebop,big band,cool jazz,jazz,42.0,23384.0,10.0,,5
2512,5344K3N7rx7kw1HjO8psuq,James Carter,covertronica,dance pop,deep house,edm,68.0,27178.0,9.0,,0
2513,0JCxGVxsISZzJHJPUOtceB,Tower Of Power,funk,jazz funk,jazz fusion,modern funk,48.0,269038.0,9.0,,4
2514,1Ic9vseHq7wmDPdsZyjMdv,Serge Chaloff,bebop,cool jazz,jazz,jazz saxophone,32.0,3635.0,2.0,,5
2515,68l2i6GeNtwQlhKS59u5bu,Paul Desmond,bebop,bossa nova,cool jazz,jazz,51.0,126479.0,11.0,,5
2516,063xkuRULzZu8fcoPR2rKR,Lou Donaldson,bebop,hard bop,jazz,jazz funk,46.0,45265.0,8.0,,5
