st_id,duplicates,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,degree,in_degree,out_degree,level_popularity,community,artist_group,group,count
5klvF93hycKWPsqssBXY9A,1.0,Night Demon,nwothm,,,,28.0,18634.0,1.0,5,4,1,16.0,14,,,6.0
75Ki5hBCOpDtKGoFyTvLxP,1.0,Lou Hoang,v-pop,,,,48.0,269061.0,20.0,200,147,53,24.0,1,V-pop Mainstream,6.0,1144510.0
43qZrcVKZleWlmoBVRBPO8,1.0,Hoàng Rob,,,,,23.0,225.0,18.0,109,57,52,16.0,1,,,146955.0
5v2WhpA59TJSdPh7LCx1lN,1.0,BONES,dark trap,underground hip hop,,,74.0,1106480.0,10.0,16,6,10,32.0,19,,,138.0
2ZmXexIJAD7PgABrj0qQRb,1.0,N.Flying,k-pop,k-pop boy group,k-rock,,48.0,686491.0,19.0,55,36,19,24.0,2,,,329.0
74cb3MG0x0BOnYNW1uXYnM,1.0,Hillsong UNITED,ccm,christian alternative rock,christian music,worship,69.0,3515714.0,7.0,12,5,7,32.0,14,,,524.0
0ZED1XzwlLHW4ZaG4lOT6m,1.0,Julia Michaels,alt z,dance pop,electropop,pop,74.0,4553557.0,18.0,126,70,56,32.0,0,,,3360.0
4VZY0nxYMSNotbS7WjNVQy,1.0,Nyla,,,,,58.0,4613.0,0.0,19,3,16,24.0,0,,,806.0
5QSx2vpiSchSeCwc0qmfNI,1.0,Who Is Fancy,,,,,39.0,36981.0,15.0,15,0,15,16.0,0,,,19.0
7nqOGRxlXj7N2JYbgNEjYH,1.0,SEVENTEEN,k-pop,k-pop boy group,,,80.0,7530359.0,19.0,140,92,48,40.0,2,,,77195.0
3tuxyjTQrEDsF0pV0WbqyR,1.0,Hoaprox,v-pop,,,,44.0,13972.0,19.0,133,78,55,24.0,1,,,276806.0
1Nym4K1ewbdN8mcp5lClSD,1.0,Minh Min,,,,,24.0,116.0,0.0,6,2,4,16.0,1,,,326.0
3VZOHWaJbouQwpHvfP47Lo,1.0,BOYS AND MEN,j-pop boy group,,,,29.0,10048.0,0.0,1,1,0,16.0,11,,,20.0
